Component,Part,References,Value,Footprint,Quantity Per PCB,DIGIKEY,Notes
1,TPSQTP20SQ,3V3 5V1 24V1 24VF1,TPSQTP20SQ,TP20SQ,4,N/A,
2,C-EUC0805,C3 C4 C15 C36 C37 C42,0.1,C0805,6,,
3,C-EUC0603,C46 C50 C51,0.1,C0603,3,,
4,C-EUC0805,C19 C21 C24 C26 C27 C28 C29 C30 C31,0.1u,C0805,9,,
5,CPOL-EUE5-10.5,C22 C23,100u,"E5-10,5",2,,
6,C-EUC0603,C9 C11 C13 C20 C33 C40,10n,C0603,6,,
7,CPOL-EUE2-5,C25,10uF,E2-5,1,,
8,C-EUC0603,C1 C6 C8 C10 C12 C14 C17 C18 C32 C34 C39 C41,1u,C0603,12,,
9,CPOL-EU1210,C2 C5 C7 C16 C35 C38,220u,C1210,6,,
10,RJ45-8PTH,CON3 CON4,RJ45-8PTH,RJ45-8,2,609-1046-ND,Almost any 8p8c will do
11,SMF24A,D2,UNI 24V TVS,SOD123,1,F5823CT-ND,
12,V_REG_OKI-78SRSINK,IC11,OKI78s05,TO220-IGO,1,811-2196-5-ND,
13,SPX3940,IC12,SPX3940,SOT223,1,MCP1826S-3302E/DB-ND,
14,NCP700BSN,IC7 IC8 IC9 IC13 IC14 IC15,TPS78227DDCR,SOT23-5,6,296-23825-1-ND,
15,ACM3225-601-2P-T001,L3,ACP3225-102-2P-TL000,ACM3225-601-2P-T001,1,445-174210-1-ND,
16,WE-CBF_0805,L1 L2 L4 L5 L6 L7,WE-CBF_0805,0805,6,732-1620-1-ND,
17,GPS_RADIO_MODULE,MOD_1 MOD_2 MOD_3 MOD_4 MOD_5 MOD_6,GPS_RADIO_MODULE,GPS_RADIO_MODULE,6,N/A,
18,LEDCHIPLED_0805,PWR1,Red,CHIPLED_0805,1,,
19,R-EU_R0805,R2 R3 R4 R5 R6 R7,0 Ohm,R0805,6,,
20,R-EU_R0603,R23 R27 R28 R29 R30 R31 R32,100,R0603,7,,
21,R-EU_R0603,R15 R16 R19 R20 R22 R24 R26 R33 R35 R36 R38 R39,151,R0603,12,,
22,R-EU_R0603,R1 R8 R9 R10 R11 R12 R13 R17,1k,R0603,8,,
23,R-EU_R0603,R14 R18 R21 R25 R34 R37,37.3,R0603,6,,
24,CDCLVC1106,U8,CDCLVC1106,SSOP14,1,296-27588-1-ND,
25,LOGO15X15,U$1,LOGO15X15,LOGO,1,N/A,
26,MAX3284E,U1,MAX3284E,SOT23-6L,1,MAX3284EAUT+CT-ND,
27,MAX3295AUT,U2 U3 U4 U5 U6 U7,MAX3295AUT,SOT23-6L,6,ISL3295EIHZ-TCT-ND,





Component Groups:,27
Component Count:,122
Fitted Components:,122
Number of PCBs:,1
Total components:,122
Schematic Version:,
Schematic Date:,
BoM Date:,Fri 22 Feb 2019 11:53:56 NZDT
Schematic Source:,/home/phillb/TART/TART/hardware/pcb/hub201902/RadioHub2.1/RadioHub2.1.sch
KiCad Version:,Eeschema 5.0.2+dfsg1-1
